Years	Middle-East	
1959	174
1960	254
1961	44
1962	93
1963	268	
1964	259	
1965	252	
1966	222	
1967	143	
1968	85	
1969	78	
1970	128	
1971	215	
1972	112
1973	229	
1974	366
1975	487	
1976	669	
1977	1069
1978	882	
1979	502	
1980	1237
1981	1578
1982	1703
1983	1955
1984	1918
1985	2355
1986	1287
1987	850	
1988	800	
1989	914	
1990	914	
1991	409	
1992	138	
1993	110	
1994	147	
1995	305	
1996	466	
1997	552
1998	727	
1999	709	
2000	529	
2001	354	
2002	791	
2003	673	
2004	1587
2005	926	
2006	933	
2007	410
2008	83
2009	148	
2010	186	
2011	205	
2012	144
2013	529	
2014	374	

