Countries	De Gaulle : 1959-1969	Pompidou : 1969-1974	Giscard d'Estaing : 1974-1981	Mitterand : 1981-1995	Chirac : 1995-2007	Sarkozy : 2007-2012	Hollande : 2012-2015
Argentina		290	498	552			
Australia	1279					289	210
Belgium	273	1324	447				
Brazil				738	805		206
Chile				516	613		
China				632	1933	961	637
Colombia		224					
Egypt			1224	1601			
Finland				543			118
Germany (FRG)	2852	703	948				
Greece		372	1435	1184		938	78
India				1996			193
Iran			433				
Iraq			639	4783			
Israel	1476						
Italy	230	486					
Jordan				781			
Kuwait			464				
Libya		1445	1206	683			
Malaysia		239				330	134
Mexico							98
Morocco			1380	621		728	592
Netherlands	504	258					
Oman							232
Pakistan		835	1244	599	1162	333	
Peru			559	690			
Portugal	610	406					
Qatar				1022	622		89
Romania				585			
Saudi Arabia			1236	4192	1273	255	253
Singapore						1845	
South Africa	875	1014	1130				
South Korea					919	520	
Spain		525	1361	2048			
Sweden	263						
Switzerland	456	245					
Taiwan (ROC)					4242		
Turkey					1103		
UAE			730	1284	4892	605	399
United Kingdom		273					138
United States	1120			822		276	260
