Countries	United States	Russia	Germany	France
1991	12514	0	2514	1108
1992	14089	2605	1442	1186
1993	13825	3441	1542	926
1994	11457	1478	2750	842
1995	11132	3889	1468	967
1996	10833	3527	1960	1889
1997	14547	3347	941	3230
1998	15705	2040	1823	3139
1999	11559	4261	1857	1859
2000	7597	4503	1615	1116
2001	5680	5419	895	1451
2002	4958	5622	902	1474
2003	5616	5297	1660	1441
2004	6790	6250	1121	2324
2005	6827	5210	2071	1842
2006	7481	5154	2696	1702
2007	7800	5568	3244	2402
2008	6799	6265	2378	1991
2009	6806	5070	2539	1918
2010	8098	6172	2745	898
2011	9104	8695	1349	1752
2012	9163	8480	816	1025
2013	7687	8107	722	1511
2014	10470	5468	1785	1734
2015	10484	5483	2049	2013
